Rank	Rank Rep1	Rank Rep2	Rank Rep3	id	Lead gene name	Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers	Q-value	Ratio H/L count M1_F1	Ratio H/L count M1_F2	Ratio H/L count M1_F3	Ratio H/L count M2_F1	Ratio H/L count M2_F2	Ratio H/L count M2_F3	Ratio H/L count M3_F1	Ratio H/L count M3_F2	Ratio H/L count M3_F3	Min Ratio count	LognRatio H/L M1_F1	LognRatio H/L M1_F2	LognRatio H/L M1_F3	LognRatio H/L M2_F1	LognRatio H/L M2_F2	LognRatio H/L M2_F3	LognRatio H/L M3_F1	LognRatio H/L M3_F2	LognRatio H/L M3_F3	Delta 1_1	Delta 1_2	Delta 1_3	Delta 2_1	Delta 2_2	Delta 2_3	Delta 3_1	Delta 3_2	Delta 3_3	Abs Dist 1	Abs Dist 2	Abs Dist 3	Abs Dist total	Median abs dist replicates	Max dist	Rob sum abs dist (minus max dist)	Chosen Distance	Total Ratio count	Percentile	Sum lower two reps			LognRatio H/L M1_F1	LognRatio H/L M1_F2	LognRatio H/L M1_F3	LognRatio H/L M2_F1	LognRatio H/L M2_F2	LognRatio H/L M2_F3	LognRatio H/L M3_F1	LognRatio H/L M3_F2	LognRatio H/L M3_F3				Add abundance filter	id	Gene names	Delta F3	Passes filter?	Correlation 1 vs 2	Correlation 1 vs 3	Correlation 2 vs 3	Min correl	Correlation with query	distance correl	Rank propduct three neighbourhoods	Rank three neigbourhoods	Rand
740	275	1083	1031	1742	ARRB2	P32121;P32121-3;P32121-4;P32121-5;P32121-2	P32121;P32121-3;P32121-4;P32121-5;P32121-2	Beta-arrestin-2	ARRB2	sp|P32121|ARRB2_HUMAN Beta-arrestin-2 OS=Homo sapiens OX=9606 GN=ARRB2 PE=1 SV=2;sp|P32121-3|ARRB2_HUMAN Isoform 2 of Beta-arrestin-2 OS=Homo sapiens OX=9606 GN=ARRB2;sp|P32121-4|ARRB2_HUMAN Isoform 4 of Beta-arrestin-2 OS=Homo sapiens OX=9606 GN=ARRB2;sp|	0	6	7	7	11	10	11	12	10	5	5	0.284589269	0.315342842	-0.041179513	-0.08993486	0.287172968	-0.070086273	0.147244661	0.476916035	0.208114229	0.072127786	0.188055266	1.345053273	0.561158032	0.11447826	1.276546536	0.448632218	0.016235456	1.707748671	1.605236326	1.952182828	2.172616345	5.730035499	1.952182828	1.707748671	4.022286828	5.730035499	79	0.62	3.557419154																1742	ARRB2	0.008	1	0.526714803	0.414266451	0.991870863	0.414266451	0.485114946	0.514885054	307057575.9	660	0.902644537
164	192	579	158	4606	ARRDC1	Q8N5I2	Q8N5I2	Arrestin domain-containing protein 1	ARRDC1	sp|Q8N5I2|ARRD1_HUMAN Arrestin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ARRDC1 PE=1 SV=1	0	2	1	5	1	3	5	1	2	4	1	1.304964443	0.585857385	-0.961804259	1.447379051	0.185391004	-1.019278397	1.123222083	0.295091383	-0.912282719	0.948247387	0.082459277	0.424428528	0.976155879	0.216260224	0.327354411	0.527345205	0.165589195	0.587351723	1.455135191	1.519770514	1.280286123	4.255191829	1.455135191	0.976155879	3.27903595	4.255191829	24	0.12	2.735421315																4606	ARRDC1	0.601	1	0.975591407	0.994921342	0.992740021	0.975591407	0.901526538	0.098473462	17564544.86	176	0.861461971
1244	768	1014	2112	120	ARVCF	O00192;O00192-2	O00192;O00192-2	Armadillo repeat protein deleted in velo-cardio-facial syndrome	ARVCF	sp|O00192|ARVC_HUMAN Armadillo repeat protein deleted in velo-cardio-facial syndrome OS=Homo sapiens OX=9606 GN=ARVCF PE=1 SV=1;sp|O00192-2|ARVC_HUMAN Isoform Short of Armadillo repeat protein deleted in velo-cardio-facial syndrome OS=Homo sapiens OX=9606 	0	4	4	9	1	9	6	3	7	5	1	0.31872747	-0.002319475	0.070511086	0.123031115	-0.476013594	-0.662039553	-0.015338862	-0.884535654	-0.688141346	0.037989586	0.505717584	1.456743873	0.348192058	0.877664822	0.684593255	0.61121574	1.345216232	0.811493096	2.000451043	1.910450134	2.767925069	6.678826246	2.000451043	1.456743873	5.222082373	6.678826246	48	0.41	3.910901177																120	ARVCF	0.574	1	0.901839969	0.999999549	0.902249705	0.901839969	0.31724136	0.68275864	1644724224	1223	0.440347101
1689	1352	1750	1961	6467	AS3MT	Q9HBK9;Q9HBK9-2	Q9HBK9;Q9HBK9-2	Arsenite methyltransferase	AS3MT	sp|Q9HBK9|AS3MT_HUMAN Arsenite methyltransferase OS=Homo sapiens OX=9606 GN=AS3MT PE=1 SV=3;sp|Q9HBK9-2|AS3MT_HUMAN Isoform 2 of Arsenite methyltransferase OS=Homo sapiens OX=9606 GN=AS3MT	0	3	5	5	3	3	4	3	3	4	3	0.034359906	0.201584277	0.252005263	-0.106829694	-0.11741178	-0.134759793	-0.016199299	-0.154683658	-0.027447694	0.322357149	0.301813832	1.63823805	0.578052867	0.519063008	1.211873015	0.612076178	0.615364237	1.472186748	2.262409031	2.308988889	2.699627162	7.271025082	2.308988889	1.63823805	5.632787032	7.271025082	33	0.23	4.57139792																6467	AS3MT	-0.079	1	-0.904996981	-0.365020239	-0.065721755	-0.904996981	-0.182879597	1.182879597	4639726000	1805	0.438543961
1538	1836	1547	1367	2988	ASAH1	Q13510-2;Q13510;Q13510-3	Q13510-2;Q13510;Q13510-3	Acid ceramidase;Acid ceramidase subunit alpha;Acid ceramidase subunit beta	ASAH1	sp|Q13510-2|ASAH1_HUMAN Isoform 2 of Acid ceramidase OS=Homo sapiens OX=9606 GN=ASAH1;sp|Q13510|ASAH1_HUMAN Acid ceramidase OS=Homo sapiens OX=9606 GN=ASAH1 PE=1 SV=5;sp|Q13510-3|ASAH1_HUMAN Isoform 3 of Acid ceramidase OS=Homo sapiens OX=9606 GN=ASAH1	0	3	4	6	1	5	2	2	4	2	1	-0.358111739	0.287642629	0.137576762	0.246659274	0.350780979	0.593350286	-0.145155681	0.000119512	-0.293926839	0.714828795	0.21575548	1.523809548	0.224563899	0.050870249	1.939983094	0.741032559	0.460561066	1.205707603	2.454393823	2.215417243	2.407301228	7.077112294	2.407301228	1.939983094	5.1371292	7.077112294	29	0.18	4.622718471																2988	ASAH1	-0.319	1	0.561918078	0.215331594	-0.686789046	-0.686789046	-0.096653442	1.096653442	3882679164	1691	0.115781976
669	670	496	1046	7237	ASAP1	Q9ULH1;Q9ULH1-2	Q9ULH1;Q9ULH1-2	"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1"	ASAP1	"sp|Q9ULH1|ASAP1_HUMAN Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ASAP1 PE=1 SV=4;sp|Q9ULH1-2|ASAP1_HUMAN Isoform 1 of Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapi"	0	3	11	4	5	6	6	5	4	6	3	0.676257989	0.135338126	-0.130229081	0.255779506	0.04061731	-0.460615072	0.191007748	-0.11334607	-0.298270253	0.319540934	0.368059983	1.256003705	0.215443667	0.361033918	0.886017736	0.404869131	0.574026648	1.201364189	1.943604622	1.462495322	2.180259968	5.586359912	1.943604622	1.256003705	4.330356206	5.586359912	50	0.43	3.406099944																7237	ASAP1	0.23	1	0.912593661	0.998508724	0.933553793	0.912593661	0.714097794	0.285902206	347606720.7	694	0.706766748
2285	300	3186	1663	4562	ASCC3	Q8N3C0;Q8N3C0-4;Q8N3C0-3	Q8N3C0	Activating signal cointegrator 1 complex subunit 3	ASCC3	sp|Q8N3C0|ASCC3_HUMAN Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens OX=9606 GN=ASCC3 PE=1 SV=3	0	2	6	8	8	1	6	2	2	4	1	-0.326632495	0.333148677	-0.593710925	-0.347120991	-0.702165514	0.486592756	-0.206005764	-0.057934548	-0.260610726	0.68334955	0.170249432	0.792521862	0.818344164	1.103816742	1.833225564	0.801882642	0.518615127	1.239023716	1.646120843	3.75538647	2.559521485	7.961028798	2.559521485	1.833225564	6.127803235	7.961028798	39	0.30	4.205642328																4562	ASCC3	-0.192	1	-0.892324398	0.999793819	-0.882974551	-0.892324398	-0.086214342	1.086214342	1589495401	1206	0.584986604
2901	3020	2754	2587	7377	ASF1A	Q9Y294	Q9Y294	Histone chaperone ASF1A	ASF1A	sp|Q9Y294|ASF1A_HUMAN Histone chaperone ASF1A OS=Homo sapiens OX=9606 GN=ASF1A PE=1 SV=1	0	4	2	2	5	3	2	3	2	2	2	-0.438448264	-0.487702087	0.139040749	-0.398831778	0.412036399	0.684305725	0.043936384	-0.091227569	0.407894301	0.79516532	0.991100196	1.525273535	0.870054951	0.010385171	2.030938533	0.551940494	0.551908147	1.907528743	3.311539051	2.911378655	3.011377385	9.23429509	3.011377385	2.030938533	7.203356557	9.23429509	25	0.13	5.92275604																7377	ASF1A	-0.446	1	0.64184417	0.981211395	0.481834921	0.481834921	-0.670456196	1.670456196	21516285961	2969	0.753853283
2840	333	3283	2436	7008	ASH2L	Q9UBL3;Q9UBL3-3;Q9UBL3-2	Q9UBL3;Q9UBL3-3;Q9UBL3-2	Set1/Ash2 histone methyltransferase complex subunit ASH2	ASH2L	sp|Q9UBL3|ASH2L_HUMAN Set1/Ash2 histone methyltransferase complex subunit ASH2 OS=Homo sapiens OX=9606 GN=ASH2L PE=1 SV=1;sp|Q9UBL3-3|ASH2L_HUMAN Isoform 3 of Set1/Ash2 histone methyltransferase complex subunit ASH2 OS=Homo sapiens OX=9606 GN=ASH2L;sp|Q9UB	0	2	4	3	3	7	2	4	3	3	2	0.255341679	-0.376835088	-0.689204588	-0.080869276	1.215220713	1.720079841	-0.028283835	0.435567251	0.778154946	0.101375377	0.880233197	0.697028198	0.552092449	0.813569485	3.066712649	0.624160714	0.025113328	2.277789388	1.678636772	4.432374583	2.927063429	9.038074784	2.927063429	3.066712649	5.971362135	9.038074784	31	0.20	4.605700201																7008	ASH2L	-0.357	1	-0.998467591	-0.994339746	0.986936336	-0.998467591	-0.253960415	1.253960415	2663130204	1473	0.21934261
1483	1907	1115	1623	915	ASMTL	O95671;O95671-2;O95671-3	O95671;O95671-2;O95671-3	N-acetylserotonin O-methyltransferase-like protein	ASMTL	sp|O95671|ASML_HUMAN Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein OS=Homo sapiens OX=9606 GN=ASMTL PE=1 SV=3;sp|O95671-2|ASML_HUMAN Isoform 2 of Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein OS=Homo sa	0	4	8	4	3	4	4	7	6	3	3	-0.184264776	-0.392395598	-0.33696309	0.09011326	0.219740977	0.066956739	0.108441925	0.126250463	0.225853576	0.540981831	0.895793707	1.049269697	0.381109913	0.181910251	1.413589547	0.487434953	0.334430115	1.725488018	2.486045235	1.976609712	2.547353086	7.010008034	2.486045235	1.725488018	5.284520016	7.010008034	43	0.34	4.462654947																915	ASMTL	0.014	1	-0.599265152	-0.393767396	-0.49990314	-0.599265152	0.009204336	0.990795664	3450993015	1613	0.349833624
2164	2309	1617	2332	450	ASNA1	O43681	O43681	ATPase ASNA1	ASNA1	sp|O43681|ASNA_HUMAN ATPase ASNA1 OS=Homo sapiens OX=9606 GN=ASNA1 PE=1 SV=2	0	20	14	15	13	11	16	9	9	11	9	-0.227730749	0.029962797	0.225826072	0.319524035	-0.046984979	0.301947437	0.149478584	0.040624278	0.505386908	0.584447804	0.473435312	1.612058859	0.151699138	0.448636207	1.648580245	0.446398295	0.4200563	2.00502135	2.669941975	2.248915589	2.871475945	7.790333509	2.669941975	2.00502135	5.785312159	7.790333509	118	0.76	4.918857564																450	ASNA1	-0.084	1	-0.120775178	0.676376235	0.649475168	-0.120775178	-0.658249493	1.658249493	8706878796	2313	0.161776154
1452	1061	1549	1767	1140	ASNS	P08243;P08243-2;P08243-3	P08243;P08243-2;P08243-3	Asparagine synthetase [glutamine-hydrolyzing]	ASNS	sp|P08243|ASNS_HUMAN Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS PE=1 SV=4;sp|P08243-2|ASNS_HUMAN Isoform 2 of Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS;sp|P08243-3|ASNS_HUMAN Isoform 3 	0	12	13	10	10	12	10	13	11	10	10	0.199891685	0.052840502	0.142218212	0.149035617	0.288506944	0.434818427	0.198848501	0.092526639	0.352370808	0.156825371	0.450557607	1.528450999	0.322187556	0.113144284	1.781451235	0.397028378	0.368153939	1.85200525	2.135833976	2.216783075	2.617187567	6.969804618	2.216783075	1.85200525	5.117799368	6.969804618	101	0.71	4.352617051																1140	ASNS	-0.05	1	-0.376431225	0.51666003	0.598726198	-0.376431225	-0.597155097	1.597155097	2904045064	1512	0.628403279
859	589	1238	845	4109	ASRGL1	Q7L266;Q7L266-2	Q7L266;Q7L266-2	Isoaspartyl peptidase/L-asparaginase;Isoaspartyl peptidase/L-asparaginase alpha chain;Isoaspartyl peptidase/L-asparaginase beta chain	ASRGL1	sp|Q7L266|ASGL1_HUMAN Isoaspartyl peptidase/L-asparaginase OS=Homo sapiens OX=9606 GN=ASRGL1 PE=1 SV=2;sp|Q7L266-2|ASGL1_HUMAN Isoform 2 of Isoaspartyl peptidase/L-asparaginase OS=Homo sapiens OX=9606 GN=ASRGL1	0	4	4	4	2	9	4	3	2	3	2	0.270358442	-0.073464358	-0.150536558	0.3671137	-0.203865195	0	0.625467503	-0.017628523	-0.00963389	0.086358613	0.576862467	1.235696228	0.104109473	0.605516423	1.346632808	0.029590624	0.478309101	1.490000552	1.898917308	2.056258704	1.997900277	5.95307629	1.997900277	1.490000552	4.463075738	5.95307629	35	0.26	3.896817586																4109	ASRGL1	-0.144	1	0.861374259	0.983182504	0.939656657	0.861374259	0.422122656	0.577877344	616158790	866	0.044490663
1744	2568	1461	1228	994	ASS1	P00966	P00966	Argininosuccinate synthase	ASS1	sp|P00966|ASSY_HUMAN Argininosuccinate synthase OS=Homo sapiens OX=9606 GN=ASS1 PE=1 SV=2	0	7	7	7	9	11	7	9	6	7	6	-0.441339497	-0.52331826	-0.368270863	0.11663201	-0.095907765	-0.028737406	0.398000737	0.257059458	0.419729687	0.798056553	1.026716368	1.017961923	0.354591163	0.497558993	1.317895402	0.197876142	0.203621121	1.919364129	2.842734844	2.170045557	2.320861391	7.333641793	2.320861391	1.919364129	5.414277664	7.333641793	70	0.57	4.490906949																994	ASS1	0.001	1	0.340505011	0.933371556	0.655281707	0.340505011	-0.063874664	1.063874664	4607269345	1802	0.944019064
3281	3237	3195	3310	6735	ATAD3A	Q9NVI7-2;Q9NVI7;Q9NVI7-3;Q5T2N8;Q5T9A4-2	Q9NVI7-2;Q9NVI7;Q9NVI7-3	ATPase family AAA domain-containing protein 3A	ATAD3A	sp|Q9NVI7-2|ATD3A_HUMAN Isoform 2 of ATPase family AAA domain-containing protein 3A OS=Homo sapiens OX=9606 GN=ATAD3A;sp|Q9NVI7|ATD3A_HUMAN ATPase family AAA domain-containing protein 3A OS=Homo sapiens OX=9606 GN=ATAD3A PE=1 SV=2;sp|Q9NVI7-3|ATD3A_HUMAN I	0	6	6	4	8	2	1	12	1	1	1	-1.140010628	0.052131038	0.64379594	-0.600566227	0.183567116	1.159523525	-1.788239889	0.115287816	1.089542226	1.496727683	0.451267071	2.030028727	1.0717894	0.218084112	2.506156333	2.384116768	0.345392763	2.589176668	3.978023481	3.796029845	5.318686199	13.09273952	3.978023481	2.589176668	10.50356286	13.09273952	41	0.32	7.774053326																6735	ATAD3A	-0.906	1	0.967714231	0.999970811	0.969611766	0.967714231	-0.769401309	1.769401309	34232731651	3280	0.76720412
2591	2384	2335	2776	5854	ATG101	Q9BSB4	Q9BSB4	Autophagy-related protein 101	ATG101	sp|Q9BSB4|ATGA1_HUMAN Autophagy-related protein 101 OS=Homo sapiens OX=9606 GN=ATG101 PE=1 SV=1	0.0001981	2	2	1	3	2	3	3	3	1	1	-0.535480616	0.05673633	-0.007269062	-0.316559623	-0.182706214	-0.108248071	-0.103080311	-0.231517826	0.257227969	0.892197671	0.446661779	1.378963724	0.787782795	0.584357442	1.238384737	0.69895719	0.692198404	1.756862411	2.717823175	2.610524975	3.148018005	8.476366155	2.717823175	1.756862411	6.719503744	8.476366155	20	0.08	5.328348149																5854	ATG101	0.078	1	0.896466015	0.167926085	0.587360144	0.167926085	-0.567257438	1.567257438	15452992640	2730	0.061891481
1236	504	943	2509	3772	ATG16L1	Q676U5-2;Q676U5;Q676U5-3;Q676U5-5;Q676U5-4	Q676U5-2;Q676U5;Q676U5-3;Q676U5-5	Autophagy-related protein 16-1	ATG16L1	sp|Q676U5-2|A16L1_HUMAN Isoform 2 of Autophagy-related protein 16-1 OS=Homo sapiens OX=9606 GN=ATG16L1;sp|Q676U5|A16L1_HUMAN Autophagy-related protein 16-1 OS=Homo sapiens OX=9606 GN=ATG16L1 PE=1 SV=2;sp|Q676U5-3|A16L1_HUMAN Isoform 3 of Autophagy-related 	0	3	2	1	2	4	1	2	1	1	1	0.21350526	-0.253040829	-0.445349292	0.234649429	0.39985697	0.272241904	-0.008411516	0.763891031	0.560773198	0.143211796	0.756438937	0.940883495	0.236573744	0.001794258	1.618874712	0.604288394	0.303210453	2.06040764	1.840534227	1.857242714	2.967906487	6.665683429	1.857242714	2.06040764	4.605275789	6.665683429	17	0.04	3.697776942																3772	ATG16L1	-0.111	1	-0.43913988	-0.855522981	0.840863874	-0.855522981	0.089088507	0.910911493	1192457448	1099	0.496146305
3062	2900	2434	3202	5291	ATG2B	Q96BY7	Q96BY7	Autophagy-related protein 2 homolog B	ATG2B	sp|Q96BY7|ATG2B_HUMAN Autophagy-related protein 2 homolog B OS=Homo sapiens OX=9606 GN=ATG2B PE=1 SV=5	0	1	5	2	2	2	2	2	4	1	1	-0.259599716	-0.256903938	0.380151614	-0.397941163	0.050229095	0.099073752	-0.563413865	-0.479172907	0.430194137	0.616316772	0.760302047	1.766384401	0.869164336	0.351422132	1.445706561	1.159290744	0.939853486	1.929828579	3.14300322	2.666293029	4.028972808	9.838269057	3.14300322	1.929828579	7.908440478	9.838269057	21	0.08	5.809296249																5291	ATG2B	-0.143	1	0.578203922	0.997346315	0.636069239	0.578203922	-0.875716543	1.875716543	22601637201	3006	0.655356514
1314	889	1052	2163	6669	ATG3	Q9NT62;Q9NT62-2	Q9NT62;Q9NT62-2	Ubiquitin-like-conjugating enzyme ATG3	ATG3	sp|Q9NT62|ATG3_HUMAN Ubiquitin-like-conjugating enzyme ATG3 OS=Homo sapiens OX=9606 GN=ATG3 PE=1 SV=1;sp|Q9NT62-2|ATG3_HUMAN Isoform 2 of Ubiquitin-like-conjugating enzyme ATG3 OS=Homo sapiens OX=9606 GN=ATG3	0	9	7	8	7	6	6	8	5	8	5	0.291607507	0.3166431	0.420648555	-0.036913249	0.195769216	-0.128390268	0.099803869	-0.142196231	0.194135113	0.065109548	0.186755008	1.806881342	0.508136421	0.205882012	1.21824254	0.49607301	0.60287681	1.693769555	2.058745898	1.932260973	2.792719375	6.783726245	2.058745898	1.806881342	4.976844904	6.783726245	64	0.53	3.991006871																6669	ATG3	0.003	1	-0.578464375	0.576934716	-0.999998244	-0.999998244	-0.12459587	1.12459587	2022898165	1322	0.566344576
1471	741	1654	2064	7541	ATG4B	Q9Y4P1;Q9Y4P1-6;Q9Y4P1-2;Q9Y4P1-4;Q9Y4P1-3	Q9Y4P1;Q9Y4P1-6;Q9Y4P1-2;Q9Y4P1-4	Cysteine protease ATG4B	ATG4B	sp|Q9Y4P1|ATG4B_HUMAN Cysteine protease ATG4B OS=Homo sapiens OX=9606 GN=ATG4B PE=1 SV=2;sp|Q9Y4P1-6|ATG4B_HUMAN Isoform 6 of Cysteine protease ATG4B OS=Homo sapiens OX=9606 GN=ATG4B;sp|Q9Y4P1-2|ATG4B_HUMAN Isoform 2 of Cysteine protease ATG4B OS=Homo sapi	0	4	4	3	4	4	3	2	5	3	2	0.359374348	-0.036773977	0.055286913	0.063181371	-0.140937891	-0.03189581	0.09697086	-0.112294926	0.178501767	0.002657292	0.540172086	1.441519699	0.408041802	0.542589119	1.314736998	0.498906019	0.572975504	1.678136209	1.984349077	2.265367919	2.750017732	6.999734728	2.265367919	1.678136209	5.321598519	6.999734728	32	0.22	4.249716996																7541	ATG4B	0.071	1	0.943027524	0.454905983	0.725284458	0.454905983	-0.12300123	1.12300123	2529667297	1434	0.955851544
891	775	1468	720	872	ATG7	O95352;O95352-3;O95352-2	O95352;O95352-3;O95352-2	Ubiquitin-like modifier-activating enzyme ATG7	ATG7	sp|O95352|ATG7_HUMAN Ubiquitin-like modifier-activating enzyme ATG7 OS=Homo sapiens OX=9606 GN=ATG7 PE=1 SV=1;sp|O95352-3|ATG7_HUMAN Isoform 3 of Ubiquitin-like modifier-activating enzyme ATG7 OS=Homo sapiens OX=9606 GN=ATG7;sp|O95352-2|ATG7_HUMAN Isoform 	0	4	4	4	3	4	6	2	6	6	2	0.408458073	-0.050423756	0.012103773	0.125271108	-0.253141753	-0.173579042	0.562421882	0.025689268	-0.115477217	0.051741017	0.553821865	1.39833656	0.345952065	0.654792981	1.173053766	0.033454997	0.43499131	1.384157225	2.003899442	2.173798811	1.852603532	6.030301785	2.003899442	1.39833656	4.631965225	6.030301785	39	0.30	3.856502973																872	ATG7	0.189	1	0.997205785	0.947775438	0.921301315	0.921301315	0.445869411	0.554130589	819144000.5	964	0.49878061
1411	856	1559	1851	1733	ATIC	P31939;P31939-2	P31939;P31939-2	Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase	ATIC	sp|P31939|PUR9_HUMAN Bifunctional purine biosynthesis protein PURH OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3;sp|P31939-2|PUR9_HUMAN Isoform 2 of Bifunctional purine biosynthesis protein PURH OS=Homo sapiens OX=9606 GN=ATIC	0	50	42	57	50	54	62	42	58	55	42	0.209520174	0.117205194	0.126196259	-0.014898801	-0.011900223	-0.024075622	0.008285831	0.007129498	0.113843599	0.147196881	0.386192914	1.512429046	0.486121974	0.413551451	1.322557186	0.587591047	0.453551081	1.613478041	2.045818841	2.222230611	2.654620169	6.922669621	2.222230611	1.613478041	5.30919158	6.922669621	470	0.98	4.268049452																1733	ATIC	-0.003	1	0.195296831	-0.412986041	-0.973855226	-0.973855226	-0.155124884	1.155124884	2470166905	1420	0.640818453
1567	491	2463	1745	3801	ATL3	Q6DD88	Q6DD88	Atlastin-3	ATL3	sp|Q6DD88|ATLA3_HUMAN Atlastin-3 OS=Homo sapiens OX=9606 GN=ATL3 PE=1 SV=1	0	13	16	9	16	10	14	10	13	12	9	-0.019745449	0.29137488	-0.147429477	-0.325818697	0.276945363	0.420747728	-0.412790326	-0.097846345	-0.459583234	0.376462505	0.212023228	1.238803309	0.79704187	0.124705865	1.767380536	1.008667205	0.558526923	1.040051208	1.827289042	2.689128271	2.607245336	7.123662649	2.607245336	1.767380536	5.356282114	7.123662649	113	0.75	4.434534379																3801	ATL3	-0.166	1	0.054262406	0.985993006	0.220043296	0.054262406	0.023567959	0.976432041	2110286086	1338	0.690739633
1355	2098	1165	1145	129	ATOX1	O00244	O00244	Copper transport protein ATOX1	ATOX1	sp|O00244|ATOX1_HUMAN Copper transport protein ATOX1 OS=Homo sapiens OX=9606 GN=ATOX1 PE=1 SV=1	0	2	7	6	4	4	7	3	4	5	2	-0.063735875	-0.11948034	0.132409122	0.154666438	-0.193551631	-0.246684	0.05230272	0.079193421	-0.157922289	0.420452931	0.622878449	1.518641909	0.316556735	0.595202859	1.099948808	0.543574158	0.381487158	1.341712153	2.561973288	2.011708401	2.266773469	6.840455158	2.266773469	1.518641909	5.32181325	6.840455158	42	0.33	4.27848187																129	ATOX1	-0.107	1	-0.420055277	-0.994118355	0.515865936	-0.994118355	0.274022691	0.725977309	2798574651	1493	0.52797155
556	425	502	995	2615	ATP11A	P98196	P98196	Probable phospholipid-transporting ATPase IH	ATP11A	sp|P98196|AT11A_HUMAN Probable phospholipid-transporting ATPase IH OS=Homo sapiens OX=9606 GN=ATP11A PE=1 SV=3	0	6	13	9	5	6	7	4	9	7	4	0.392728051	-0.283612239	-0.433379804	0.404037096	-0.241473181	-0.58672024	0.31858178	-0.335818938	-0.432732014	0.036010996	0.787010347	0.952852983	0.067186077	0.643124409	0.759912568	0.277295099	0.796499517	1.066902428	1.775874326	1.470223054	2.140697043	5.386794423	1.775874326	1.066902428	4.319891995	5.386794423	66	0.55	3.24609738																2615	ATP11A	0.557	1	0.983949378	0.998642025	0.973316587	0.973316587	0.668512694	0.331487306	212283250.6	565	0.644694932
31	89	34	27	7390	ATP11B	Q9Y2G3	Q9Y2G3	Probable phospholipid-transporting ATPase IF	ATP11B	sp|Q9Y2G3|AT11B_HUMAN Probable phospholipid-transporting ATPase IF OS=Homo sapiens OX=9606 GN=ATP11B PE=1 SV=2	0	4	6	6	4	6	5	6	5	12	4	-0.007766364	-0.069753045	-1.214321255	0.324040881	-0.061449788	-1.166008745	0.556962688	0.541623733	-0.868942681	0.36448342	0.573151153	0.171911531	0.147182292	0.463101016	0.180624064	0.03891419	0.080943154	0.630691761	1.109546104	0.790907371	0.750549105	2.65100258	0.790907371	0.630691761	2.020310819	2.65100258	54	0.46	1.541456476																7390	ATP11B	0.188	1	0.978808018	0.999342422	0.970739229	0.970739229	0.93745507	0.06254493	81702.63351	31	0.633512845
866	1933	609	776	4687	ATP11C	Q8NB49-3;Q8NB49-2;Q8NB49-4;Q8NB49	Q8NB49-3;Q8NB49-2;Q8NB49-4;Q8NB49	Phospholipid-transporting ATPase IG	ATP11C	sp|Q8NB49-3|AT11C_HUMAN Isoform 3 of Phospholipid-transporting ATPase IG OS=Homo sapiens OX=9606 GN=ATP11C;sp|Q8NB49-2|AT11C_HUMAN Isoform 2 of Phospholipid-transporting ATPase IG OS=Homo sapiens OX=9606 GN=ATP11C;sp|Q8NB49-4|AT11C_HUMAN Isoform 4 of Phosp	0	31	21	32	13	19	28	21	21	25	13	0.930107727	0.069763805	0.100093677	0.622534266	-0.393303207	-0.738533427	0.396473267	-0.309571271	-0.552270177	0.573390671	0.433634304	1.486326464	0.151311093	0.794954435	0.608099381	0.199403611	0.770251849	0.947364265	2.493351438	1.554364909	1.917019726	5.964736073	1.917019726	1.486326464	4.478409609	5.964736073	211	0.91	3.471384634																4687	ATP11C	0.417	1	0.961737013	0.961100596	0.999997324	0.961100596	0.543938402	0.456061598	913504872.7	1006	0.660886131
2550	1663	2448	2946	6510	ATP13A1	Q9HD20;Q9HD20-2;Q9HD20-3	Q9HD20;Q9HD20-2	Manganese-transporting ATPase 13A1	ATP13A1	sp|Q9HD20|AT131_HUMAN Manganese-transporting ATPase 13A1 OS=Homo sapiens OX=9606 GN=ATP13A1 PE=1 SV=2;sp|Q9HD20-2|AT131_HUMAN Isoform B of Manganese-transporting ATPase 13A1 OS=Homo sapiens OX=9606 GN=ATP13A1	0	3	1	3	4	2	1	2	4	1	1	0.095894544	0.575477001	0.666086493	-0.415858763	-0.098235548	-0.055742552	-0.396016638	-0.336060306	0.045269807	0.260822511	0.072078892	2.052319279	0.887081936	0.499886776	1.290890256	0.991893516	0.796740884	1.544904249	2.385220683	2.677858968	3.333538649	8.3966183	2.677858968	2.052319279	6.344299021	8.3966183	21	0.08	5.063079651																6510	ATP13A1	-0.484	1	0.999190983	0.715664343	0.68699626	0.68699626	-0.406615981	1.406615981	11993236705	2539	0.58657989
