Obs ID (Primary)	Obs ID ($ClassID)	Obs ID (Lead gene name)	Obs ID (Protein names)	Obs ID (Gene names)	Obs ID (Fasta headers)	Obs ID (Obs. Sec. ID:5)	Obs ID (Annotation Organelles)	Obs ID (Min Ratio count)	Class	M1.t[1]	M1.t[2]
1012		FTH1	Ferritin heavy chain;Ferritin heavy chain, N-terminally processed	FTH1	sp|P02794|FRIH_HUMAN Ferritin heavy chain OS=Homo sapiens OX=9606 GN=FTH1 PE=1 SV=2			2	---	1.2807	0.42177
2548		SRPK2	SRSF protein kinase 2;SRSF protein kinase 2 N-terminal;SRSF protein kinase 2 C-terminal	SRPK2	sp|P78362|SRPK2_HUMAN SRSF protein kinase 2 OS=Homo sapiens OX=9606 GN=SRPK2 PE=1 SV=3;sp|P78362-2|SRPK2_HUMAN Isoform 2 of SRSF protein kinase 2 OS=Homo sapiens OX=9606 GN=SRPK2			1	---	-1.41015	2.83328
4428		UBR1	E3 ubiquitin-protein ligase UBR1	UBR1	sp|Q8IWV7|UBR1_HUMAN E3 ubiquitin-protein ligase UBR1 OS=Homo sapiens OX=9606 GN=UBR1 PE=1 SV=1;sp|Q8IWV7-2|UBR1_HUMAN Isoform 2 of E3 ubiquitin-protein ligase UBR1 OS=Homo sapiens OX=9606 GN=UBR1			4	---	0.115803	0.969605
1666		PTPN6	Tyrosine-protein phosphatase non-receptor type 6	PTPN6	sp|P29350|PTN6_HUMAN Tyrosine-protein phosphatase non-receptor type 6 OS=Homo sapiens OX=9606 GN=PTPN6 PE=1 SV=1;sp|P29350-3|PTN6_HUMAN Isoform 2 of Tyrosine-protein phosphatase non-receptor type 6 OS=Homo sapiens OX=9606 GN=PTPN6;sp|P29350-4|PTN6_HUMAN Is			24	---	1.92231	0.312894
5729		CDCA3	Cell division cycle-associated protein 3	CDCA3	sp|Q99618|CDCA3_HUMAN Cell division cycle-associated protein 3 OS=Homo sapiens OX=9606 GN=CDCA3 PE=1 SV=1			3	---	2.55317	-0.696278
5102		LARP4B	La-related protein 4B	LARP4B	sp|Q92615|LAR4B_HUMAN La-related protein 4B OS=Homo sapiens OX=9606 GN=LARP4B PE=1 SV=3			1	---	-2.18199	-0.404301
666		TULP3	Tubby-related protein 3	TULP3	sp|O75386|TULP3_HUMAN Tubby-related protein 3 OS=Homo sapiens OX=9606 GN=TULP3 PE=1 SV=2;sp|O75386-2|TULP3_HUMAN Isoform 2 of Tubby-related protein 3 OS=Homo sapiens OX=9606 GN=TULP3			4	---	1.40815	-0.940114
5872		CRACR2A	EF-hand calcium-binding domain-containing protein 4B	CRACR2A	sp|Q9BSW2-2|EFC4B_HUMAN Isoform 2 of EF-hand calcium-binding domain-containing protein 4B OS=Homo sapiens OX=9606 GN=CRACR2A;sp|Q9BSW2|EFC4B_HUMAN EF-hand calcium-binding domain-containing protein 4B OS=Homo sapiens OX=9606 GN=CRACR2A PE=1 SV=1			5	---	1.82509	-0.557136
6406		LRRC40	Leucine-rich repeat-containing protein 40	LRRC40	sp|Q9H9A6|LRC40_HUMAN Leucine-rich repeat-containing protein 40 OS=Homo sapiens OX=9606 GN=LRRC40 PE=1 SV=1			4	---	-0.71624	-0.657903
3734		BROX	BRO1 domain-containing protein BROX	BROX	sp|Q5VW32|BROX_HUMAN BRO1 domain-containing protein BROX OS=Homo sapiens OX=9606 GN=BROX PE=1 SV=1;sp|Q5VW32-2|BROX_HUMAN Isoform 2 of BRO1 domain-containing protein BROX OS=Homo sapiens OX=9606 GN=BROX			5	---	2.60941	2.53102
1748		GBP1	Interferon-induced guanylate-binding protein 1	GBP1	sp|P32455|GBP1_HUMAN Guanylate-binding protein 1 OS=Homo sapiens OX=9606 GN=GBP1 PE=1 SV=2			3	---	0.744315	0.212527
1393		YBX3	Y-box-binding protein 3	YBX3	sp|P16989|YBOX3_HUMAN Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4;sp|P16989-3|YBOX3_HUMAN Isoform 3 of Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3			2	---	-1.80882	1.03923
6387		MOB1A	MOB kinase activator 1A	MOB1A	sp|Q9H8S9|MOB1A_HUMAN MOB kinase activator 1A OS=Homo sapiens OX=9606 GN=MOB1A PE=1 SV=4;sp|Q9H8S9-2|MOB1A_HUMAN Isoform 2 of MOB kinase activator 1A OS=Homo sapiens OX=9606 GN=MOB1A			4	---	1.78163	-1.13384
1614		FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2	FKBP2	sp|P26885|FKBP2_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=2			1	---	-2.27647	-0.219296
2082		SEPHS1	Selenide, water dikinase 1	SEPHS1	sp|P49903|SPS1_HUMAN Selenide, water dikinase 1 OS=Homo sapiens OX=9606 GN=SEPHS1 PE=1 SV=2;sp|P49903-2|SPS1_HUMAN Isoform 2 of Selenide, water dikinase 1 OS=Homo sapiens OX=9606 GN=SEPHS1;sp|P49903-4|SPS1_HUMAN Isoform 4 of Selenide, water dikinase 1 OS=H			3	---	-2.14278	-1.21915
7510		PRKAB1	5-AMP-activated protein kinase subunit beta-1	PRKAB1	sp|Q9Y478|AAKB1_HUMAN 5-AMP-activated protein kinase subunit beta-1 OS=Homo sapiens OX=9606 GN=PRKAB1 PE=1 SV=4			5	---	2.85805	-0.218971
6175		XRN2	5-3 exoribonuclease 2	XRN2	sp|Q9H0D6|XRN2_HUMAN 5-3 exoribonuclease 2 OS=Homo sapiens OX=9606 GN=XRN2 PE=1 SV=1;sp|Q9H0D6-2|XRN2_HUMAN Isoform 2 of 5-3 exoribonuclease 2 OS=Homo sapiens OX=9606 GN=XRN2			7	---	-1.99246	0.31795
2452		SNRPD1	Small nuclear ribonucleoprotein Sm D1	SNRPD1	sp|P62314|SMD1_HUMAN Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens OX=9606 GN=SNRPD1 PE=1 SV=1			3	---	0.319442	1.43241
2113		LRBA	Lipopolysaccharide-responsive and beige-like anchor protein	LRBA	sp|P50851|LRBA_HUMAN Lipopolysaccharide-responsive and beige-like anchor protein OS=Homo sapiens OX=9606 GN=LRBA PE=1 SV=4			15	---	0.549245	2.04938
1185		PARP1	Poly [ADP-ribose] polymerase 1	PARP1	sp|P09874|PARP1_HUMAN Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4			9	---	0.727299	2.37905
854		SBF1	Myotubularin-related protein 5	SBF1	sp|O95248|MTMR5_HUMAN Myotubularin-related protein 5 OS=Homo sapiens OX=9606 GN=SBF1 PE=1 SV=4			11	---	1.60734	-0.291884
5750		NAPG	Gamma-soluble NSF attachment protein	NAPG	sp|Q99747|SNAG_HUMAN Gamma-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPG PE=1 SV=1;sp|Q99747-2|SNAG_HUMAN Isoform 2 of Gamma-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPG			14	---	2.00274	-0.527585
2508		SUMO1	Small ubiquitin-related modifier 1	SUMO1	sp|P63165|SUMO1_HUMAN Small ubiquitin-related modifier 1 OS=Homo sapiens OX=9606 GN=SUMO1 PE=1 SV=1			1	---	-1.5624	-0.483991
5289		MOB3A	MOB kinase activator 3A	MOB3A	sp|Q96BX8|MOB3A_HUMAN MOB kinase activator 3A OS=Homo sapiens OX=9606 GN=MOB3A PE=1 SV=1			3	---	0.93013	-0.271615
2921		SLA	Src-like-adapter	SLA	sp|Q13239|SLAP1_HUMAN Src-like-adapter OS=Homo sapiens OX=9606 GN=SLA PE=1 SV=3;sp|Q13239-3|SLAP1_HUMAN Isoform 3 of Src-like-adapter OS=Homo sapiens OX=9606 GN=SLA;sp|Q13239-5|SLAP1_HUMAN Isoform 5 of Src-like-adapter OS=Homo sapiens OX=9606 GN=SLA;sp|Q13			1	---	3.94762	0.0833649
2956		IKZF1	DNA-binding protein Ikaros	IKZF1	sp|Q13422|IKZF1_HUMAN DNA-binding protein Ikaros OS=Homo sapiens OX=9606 GN=IKZF1 PE=1 SV=1;sp|Q13422-7|IKZF1_HUMAN Isoform Ik7 of DNA-binding protein Ikaros OS=Homo sapiens OX=9606 GN=IKZF1;sp|Q13422-4|IKZF1_HUMAN Isoform Ik4 of DNA-binding protein Ikaros			1	---	-1.91157	0.58115
6940		SIRPG	Signal-regulatory protein gamma	SIRPG	sp|Q9P1W8-2|SIRPG_HUMAN Isoform 2 of Signal-regulatory protein gamma OS=Homo sapiens OX=9606 GN=SIRPG;sp|Q9P1W8|SIRPG_HUMAN Signal-regulatory protein gamma OS=Homo sapiens OX=9606 GN=SIRPG PE=1 SV=3;sp|Q9P1W8-4|SIRPG_HUMAN Isoform 4 of Signal-regulatory pr			4	---	2.00277	0.419551
1610		PTBP1	Polypyrimidine tract-binding protein 1	PTBP1	sp|P26599|PTBP1_HUMAN Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1;sp|P26599-2|PTBP1_HUMAN Isoform 2 of Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1;sp|P26599-3|PTBP1_HUMAN Isoform 3 of Polypy			12	---	-2.42306	1.20267
4181		DHX29	ATP-dependent RNA helicase DHX29	DHX29	sp|Q7Z478|DHX29_HUMAN ATP-dependent RNA helicase DHX29 OS=Homo sapiens OX=9606 GN=DHX29 PE=1 SV=2			1	---	-0.437686	-0.695975
2929		G3BP1	Ras GTPase-activating protein-binding protein 1	G3BP1	sp|Q13283|G3BP1_HUMAN Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1			10	---	-2.75279	0.962414
618		PPFIA3	Liprin-alpha-3	PPFIA3	sp|O75145-2|LIPA3_HUMAN Isoform 2 of Liprin-alpha-3 OS=Homo sapiens OX=9606 GN=PPFIA3;sp|O75145|LIPA3_HUMAN Liprin-alpha-3 OS=Homo sapiens OX=9606 GN=PPFIA3 PE=1 SV=3			2	---	1.0741	-0.23011
6500		EPB41L5	Band 4.1-like protein 5	EPB41L5	sp|Q9HCM4|E41L5_HUMAN Band 4.1-like protein 5 OS=Homo sapiens OX=9606 GN=EPB41L5 PE=1 SV=3;sp|Q9HCM4-3|E41L5_HUMAN Isoform 3 of Band 4.1-like protein 5 OS=Homo sapiens OX=9606 GN=EPB41L5;sp|Q9HCM4-4|E41L5_HUMAN Isoform 4 of Band 4.1-like protein 5 OS=Homo			5	---	1.77388	-1.79798
2773		SRSF1	Serine/arginine-rich splicing factor 1	SRSF1	sp|Q07955|SRSF1_HUMAN Serine/arginine-rich splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=2;sp|Q07955-3|SRSF1_HUMAN Isoform ASF-3 of Serine/arginine-rich splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1;sp|Q07955-2|SRSF1_HUMAN Isoform ASF-2 o			11	---	0.1084	3.23482
929		PTBP3	Polypyrimidine tract-binding protein 3	PTBP3	sp|O95758|PTBP3_HUMAN Polypyrimidine tract-binding protein 3 OS=Homo sapiens OX=9606 GN=PTBP3 PE=1 SV=2;sp|O95758-5|PTBP3_HUMAN Isoform 5 of Polypyrimidine tract-binding protein 3 OS=Homo sapiens OX=9606 GN=PTBP3;sp|O95758-1|PTBP3_HUMAN Isoform 1 of Polypy			1	---	-0.994498	1.64887
264		GIPC1	PDZ domain-containing protein GIPC1	GIPC1	sp|O14908|GIPC1_HUMAN PDZ domain-containing protein GIPC1 OS=Homo sapiens OX=9606 GN=GIPC1 PE=1 SV=2;sp|O14908-2|GIPC1_HUMAN Isoform 2 of PDZ domain-containing protein GIPC1 OS=Homo sapiens OX=9606 GN=GIPC1			7	---	1.15175	-1.63766
404		TPD52L2	Tumor protein D54	TPD52L2	sp|O43399|TPD54_HUMAN Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2 PE=1 SV=2;sp|O43399-5|TPD54_HUMAN Isoform 5 of Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2;sp|O43399-7|TPD54_HUMAN Isoform 7 of Tumor protein D54 OS=Homo sapiens OX=9606 GN			7	---	-0.834705	-0.167788
5731		PHB2	Prohibitin-2	PHB2	sp|Q99623|PHB2_HUMAN Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2;sp|Q99623-2|PHB2_HUMAN Isoform 2 of Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2			3	---	-3.87059	-0.989533
4473		RAVER1	Ribonucleoprotein PTB-binding 1	RAVER1	sp|Q8IY67-2|RAVR1_HUMAN Isoform 2 of Ribonucleoprotein PTB-binding 1 OS=Homo sapiens OX=9606 GN=RAVER1;sp|Q8IY67|RAVR1_HUMAN Ribonucleoprotein PTB-binding 1 OS=Homo sapiens OX=9606 GN=RAVER1 PE=1 SV=1			1	---	-1.85234	1.33787
211		UBFD1	Ubiquitin domain-containing protein UBFD1	UBFD1	sp|O14562|UBFD1_HUMAN Ubiquitin domain-containing protein UBFD1 OS=Homo sapiens OX=9606 GN=UBFD1 PE=1 SV=2			1	---	-0.00241755	-1.44089
2525		TPM4	Tropomyosin alpha-4 chain	TPM4	sp|P67936|TPM4_HUMAN Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3;sp|P67936-2|TPM4_HUMAN Isoform 2 of Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4			17	---	-0.754117	-1.94141
2362		RPS20	40S ribosomal protein S20	RPS20	sp|P60866|RS20_HUMAN 40S ribosomal protein S20 OS=Homo sapiens OX=9606 GN=RPS20 PE=1 SV=1;sp|P60866-2|RS20_HUMAN Isoform 2 of 40S ribosomal protein S20 OS=Homo sapiens OX=9606 GN=RPS20			3	---	-2.22398	1.04055
1735		HNRNPH1	Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed	HNRNPH1	sp|P31943|HNRH1_HUMAN Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4			20	---	-1.96581	1.79287
2898		PRKAA1	5-AMP-activated protein kinase catalytic subunit alpha-1	PRKAA1	sp|Q13131-2|AAPK1_HUMAN Isoform 2 of 5-AMP-activated protein kinase catalytic subunit alpha-1 OS=Homo sapiens OX=9606 GN=PRKAA1;sp|Q13131|AAPK1_HUMAN 5-AMP-activated protein kinase catalytic subunit alpha-1 OS=Homo sapiens OX=9606 GN=PRKAA1 PE=1 SV=4			21	---	2.78101	-0.111889
1090		TPM3	Tropomyosin alpha-3 chain	TPM3	sp|P06753-2|TPM3_HUMAN Isoform 2 of Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3			62	---	-1.23272	-2.69428
474		NUDT21	Cleavage and polyadenylation specificity factor subunit 5	NUDT21	sp|O43809|CPSF5_HUMAN Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1			1	---	-1.33333	0.101908
1970		RPS5	40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed	RPS5	sp|P46782|RS5_HUMAN 40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4			9	---	-2.26169	1.60942
5877		LIMD2	LIM domain-containing protein 2	LIMD2	sp|Q9BT23|LIMD2_HUMAN LIM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=LIMD2 PE=1 SV=1			2	---	0.915407	-0.680734
1657		CD1B	T-cell surface glycoprotein CD1b	CD1B	sp|P29016|CD1B_HUMAN T-cell surface glycoprotein CD1b OS=Homo sapiens OX=9606 GN=CD1B PE=1 SV=1;sp|P29016-2|CD1B_HUMAN Isoform 2 of T-cell surface glycoprotein CD1b OS=Homo sapiens OX=9606 GN=CD1B			5	---	2.3421	-1.11548
2598		SRSF3	Serine/arginine-rich splicing factor 3	SRSF3	sp|P84103-2|SRSF3_HUMAN Isoform 2 of Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3;sp|P84103|SRSF3_HUMAN Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1			4	---	0.352127	3.1422
2437		RPS15A	40S ribosomal protein S15a	RPS15A	sp|P62244|RS15A_HUMAN 40S ribosomal protein S15a OS=Homo sapiens OX=9606 GN=RPS15A PE=1 SV=2			9	---	-2.61194	1.11825
7218		RAB21	Ras-related protein Rab-21	RAB21	sp|Q9UL25|RAB21_HUMAN Ras-related protein Rab-21 OS=Homo sapiens OX=9606 GN=RAB21 PE=1 SV=3			7	---	2.1319	-1.11204
3208		FAM175B	BRISC complex subunit Abro1	FAM175B	sp|Q15018|ABRX2_HUMAN BRISC complex subunit Abraxas 2 OS=Homo sapiens OX=9606 GN=ABRAXAS2 PE=1 SV=2			1	---	-2.12163	-0.803227
1300		ATP1A3	Sodium/potassium-transporting ATPase subunit alpha-3	ATP1A3	sp|P13637|AT1A3_HUMAN Sodium/potassium-transporting ATPase subunit alpha-3 OS=Homo sapiens OX=9606 GN=ATP1A3 PE=1 SV=3;sp|P13637-2|AT1A3_HUMAN Isoform 2 of Sodium/potassium-transporting ATPase subunit alpha-3 OS=Homo sapiens OX=9606 GN=ATP1A3;sp|P13637-3|A			20	---	1.5845	-1.49231
7591		TRPV2	Transient receptor potential cation channel subfamily V member 2	TRPV2	sp|Q9Y5S1|TRPV2_HUMAN Transient receptor potential cation channel subfamily V member 2 OS=Homo sapiens OX=9606 GN=TRPV2 PE=1 SV=1			3	---	1.27169	-0.775693
2019		POLD2	DNA polymerase delta subunit 2	POLD2	sp|P49005|DPOD2_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1			2	---	-1.54409	-0.398041
863		RASAL1	RasGAP-activating-like protein 1	RASAL1	sp|O95294-4|RASL1_HUMAN Isoform 4 of RasGAP-activating-like protein 1 OS=Homo sapiens OX=9606 GN=RASAL1;sp|O95294-3|RASL1_HUMAN Isoform 3 of RasGAP-activating-like protein 1 OS=Homo sapiens OX=9606 GN=RASAL1;sp|O95294-2|RASL1_HUMAN Isoform 2 of RasGAP-acti			2	---	2.14778	0.494543
6293		DEF6	Differentially expressed in FDCP 6 homolog	DEF6	sp|Q9H4E7|DEFI6_HUMAN Differentially expressed in FDCP 6 homolog OS=Homo sapiens OX=9606 GN=DEF6 PE=1 SV=1			20	---	0.646306	-2.46359
4807		ZNRF2	E3 ubiquitin-protein ligase ZNRF2	ZNRF2	sp|Q8NHG8|ZNRF2_HUMAN E3 ubiquitin-protein ligase ZNRF2 OS=Homo sapiens OX=9606 GN=ZNRF2 PE=1 SV=1			7	---	2.36691	-0.688374
1882		EIF2D	Eukaryotic translation initiation factor 2D	EIF2D	sp|P41214|EIF2D_HUMAN Eukaryotic translation initiation factor 2D OS=Homo sapiens OX=9606 GN=EIF2D PE=1 SV=3;sp|P41214-2|EIF2D_HUMAN Isoform 2 of Eukaryotic translation initiation factor 2D OS=Homo sapiens OX=9606 GN=EIF2D			3	---	-0.818293	0.839547
2171		HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3	HNRNPA3	sp|P51991-2|ROA3_HUMAN Isoform 2 of Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3			6	---	-1.8508	2.14326
1965		RPL27A	60S ribosomal protein L27a	RPL27A	sp|P46776|RL27A_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2			5	---	0.428466	2.73685
2899		PPFIA1	Liprin-alpha-1	PPFIA1	sp|Q13136|LIPA1_HUMAN Liprin-alpha-1 OS=Homo sapiens OX=9606 GN=PPFIA1 PE=1 SV=1;sp|Q13136-2|LIPA1_HUMAN Isoform 2 of Liprin-alpha-1 OS=Homo sapiens OX=9606 GN=PPFIA1			26	---	1.58055	-1.26076
32		KLRG2	Killer cell lectin-like receptor subfamily G member 2	KLRG2	sp|A4D1S0-2|KLRG2_HUMAN Isoform 2 of Killer cell lectin-like receptor subfamily G member 2 OS=Homo sapiens OX=9606 GN=KLRG2;sp|A4D1S0|KLRG2_HUMAN Killer cell lectin-like receptor subfamily G member 2 OS=Homo sapiens OX=9606 GN=KLRG2 PE=1 SV=3			1	---	2.92014	-2.04243
7106		PUF60	Poly(U)-binding-splicing factor PUF60	PUF60	sp|Q9UHX1-2|PUF60_HUMAN Isoform 2 of Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens OX=9606 GN=PUF60;sp|Q9UHX1|PUF60_HUMAN Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1;sp|Q9UHX1-4|PUF60_HUMAN Isoform 4 of Poly(U)-			9	---	-1.98157	-0.535623
3758		RNF213	E3 ubiquitin-protein ligase RNF213	RNF213	sp|Q63HN8|RN213_HUMAN E3 ubiquitin-protein ligase RNF213 OS=Homo sapiens OX=9606 GN=RNF213 PE=1 SV=3;sp|Q63HN8-4|RN213_HUMAN Isoform 2 of E3 ubiquitin-protein ligase RNF213 OS=Homo sapiens OX=9606 GN=RNF213			35	---	-2.13847	0.722631
6976		EIF2AK4	Eukaryotic translation initiation factor 2-alpha kinase 4	EIF2AK4	sp|Q9P2K8|E2AK4_HUMAN eIF-2-alpha kinase GCN2 OS=Homo sapiens OX=9606 GN=EIF2AK4 PE=1 SV=3;sp|Q9P2K8-2|E2AK4_HUMAN Isoform 2 of eIF-2-alpha kinase GCN2 OS=Homo sapiens OX=9606 GN=EIF2AK4			1	---	-1.9272	0.221793
1719		MAT2A	S-adenosylmethionine synthase isoform type-2	MAT2A	sp|P31153|METK2_HUMAN S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens OX=9606 GN=MAT2A PE=1 SV=1;sp|P31153-2|METK2_HUMAN Isoform 2 of S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens OX=9606 GN=MAT2A			9	---	-1.53735	-0.237053
3288		RHEB	GTP-binding protein Rheb	RHEB	sp|Q15382|RHEB_HUMAN GTP-binding protein Rheb OS=Homo sapiens OX=9606 GN=RHEB PE=1 SV=1			2	---	1.84386	-1.64371
140		CLIC1	Chloride intracellular channel protein 1	CLIC1	sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4			13	---	0.915962	-1.14654
5821		CPPED1	Serine/threonine-protein phosphatase CPPED1	CPPED1	sp|Q9BRF8|CPPED_HUMAN Serine/threonine-protein phosphatase CPPED1 OS=Homo sapiens OX=9606 GN=CPPED1 PE=1 SV=3;sp|Q9BRF8-2|CPPED_HUMAN Isoform 2 of Serine/threonine-protein phosphatase CPPED1 OS=Homo sapiens OX=9606 GN=CPPED1			2	---	1.55855	1.53054
986		SOD1	Superoxide dismutase [Cu-Zn]	SOD1	sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2			6	---	0.0363995	-0.484868
1351		EZR	Ezrin	EZR	sp|P15311|EZRI_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4			42	---	1.76988	-1.50917
5091		NDRG1	Protein NDRG1	NDRG1	sp|Q92597|NDRG1_HUMAN Protein NDRG1 OS=Homo sapiens OX=9606 GN=NDRG1 PE=1 SV=1;sp|Q92597-3|NDRG1_HUMAN Isoform 3 of Protein NDRG1 OS=Homo sapiens OX=9606 GN=NDRG1;sp|Q92597-2|NDRG1_HUMAN Isoform 2 of Protein NDRG1 OS=Homo sapiens OX=9606 GN=NDRG1			8	---	0.0907057	-1.73249
2491		RPL11	60S ribosomal protein L11	RPL11	sp|P62913-2|RL11_HUMAN Isoform 2 of 60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11;sp|P62913|RL11_HUMAN 60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2			5	---	-1.7795	1.33605
2760		RPL18	60S ribosomal protein L18	RPL18	sp|Q07020|RL18_HUMAN 60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=2;sp|Q07020-2|RL18_HUMAN Isoform 2 of 60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18			4	---	0.258429	2.79349
3052		IDI1	Isopentenyl-diphosphate Delta-isomerase 1	IDI1	sp|Q13907|IDI1_HUMAN Isopentenyl-diphosphate Delta-isomerase 1 OS=Homo sapiens OX=9606 GN=IDI1 PE=1 SV=2;sp|Q13907-2|IDI1_HUMAN Isoform 2 of Isopentenyl-diphosphate Delta-isomerase 1 OS=Homo sapiens OX=9606 GN=IDI1			3	---	-0.655056	-1.72735
4406		CEP97	Centrosomal protein of 97 kDa	CEP97	sp|Q8IW35|CEP97_HUMAN Centrosomal protein of 97 kDa OS=Homo sapiens OX=9606 GN=CEP97 PE=1 SV=1;sp|Q8IW35-2|CEP97_HUMAN Isoform 2 of Centrosomal protein of 97 kDa OS=Homo sapiens OX=9606 GN=CEP97			2	---	-1.92997	1.14429
2403		RHOA	Transforming protein RhoA	RHOA	sp|P61586|RHOA_HUMAN Transforming protein RhoA OS=Homo sapiens OX=9606 GN=RHOA PE=1 SV=1			19	---	2.20175	-0.920736
6462		LY9	T-lymphocyte surface antigen Ly-9	LY9	sp|Q9HBG7|LY9_HUMAN T-lymphocyte surface antigen Ly-9 OS=Homo sapiens OX=9606 GN=LY9 PE=1 SV=3;sp|Q9HBG7-2|LY9_HUMAN Isoform 2 of T-lymphocyte surface antigen Ly-9 OS=Homo sapiens OX=9606 GN=LY9;sp|Q9HBG7-3|LY9_HUMAN Isoform 3 of T-lymphocyte surface antig			3	---	2.93236	-0.854359
6152		CTDSP1	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1	CTDSP1	sp|Q9GZU7-2|CTDS1_HUMAN Isoform 2 of Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 OS=Homo sapiens OX=9606 GN=CTDSP1;sp|Q9GZU7-3|CTDS1_HUMAN Isoform 3 of Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatas			2	---	2.43896	-1.51426
4208		ARHGAP30	Rho GTPase-activating protein 30	ARHGAP30	sp|Q7Z6I6|RHG30_HUMAN Rho GTPase-activating protein 30 OS=Homo sapiens OX=9606 GN=ARHGAP30 PE=1 SV=3;sp|Q7Z6I6-2|RHG30_HUMAN Isoform 2 of Rho GTPase-activating protein 30 OS=Homo sapiens OX=9606 GN=ARHGAP30;sp|Q7Z6I6-3|RHG30_HUMAN Isoform 3 of Rho GTPase-a			12	---	1.6639	-1.34241
5134		SYMPK	Symplekin	SYMPK	sp|Q92797|SYMPK_HUMAN Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=2;sp|Q92797-2|SYMPK_HUMAN Isoform 2 of Symplekin OS=Homo sapiens OX=9606 GN=SYMPK			3	---	-0.688446	2.28151
1147		SNRPB2	U2 small nuclear ribonucleoprotein B	SNRPB2	sp|P08579|RU2B_HUMAN U2 small nuclear ribonucleoprotein B OS=Homo sapiens OX=9606 GN=SNRPB2 PE=1 SV=1			2	---	-2.01368	0.196615
5512		ELMO2	Engulfment and cell motility protein 2	ELMO2	sp|Q96JJ3|ELMO2_HUMAN Engulfment and cell motility protein 2 OS=Homo sapiens OX=9606 GN=ELMO2 PE=1 SV=2;sp|Q96JJ3-3|ELMO2_HUMAN Isoform 2 of Engulfment and cell motility protein 2 OS=Homo sapiens OX=9606 GN=ELMO2			4	---	1.94081	1.13235
